week,active_devices_potential_malicious,active_devices_known_good,active_devices_malicious_activity,infection_breach,unknowns_clean,unknowns_pua,unknowns_malware
24 Jun - 30 Jun 2024,13.36,86.64,0.4,0,97.81,0.48,1.71
17 Jun - 23 Jun 2024,19.46,80.54,0.55,0,95.78,3.6,0.62
10 Jun - 16 Jun 2024,11.59,88.41,0.32,0,97.4,0.72,1.88
03 Jun - 09 Jun 2024,13.71,86.29,0.32,0,97.55,0.38,2.07
27 May - 02 Jun 2024,12.56,87.44,0.4,0,97.38,0.28,2.34
20 May - 26 May 2024,12.88,87.12,0.28,0,98.7,0.2,1.1
13 May - 19 May 2024,14.33,85.67,0.45,0,97.66,0.22,2.12
06 May - 12 May 2024,10.2,89.8,0.26,0,95.27,0.66,4.07
29 Apr - 05 May 2024,9.6,90.4,0.07,0,98.22,0.39,1.39
22 Apr - 28 Apr 2024,9.7,90.3,0.14,0,98.77,0.36,0.87
15 Apr - 21 Apr 2024,11.14,88.86,0.09,0,98.51,0.31,1.18
08 Apr - 14 Apr 2024,10.28,89.72,0.38,0,96.9,0.55,2.55
01 Apr - 07 Apr 2024,10.63,89.37,0.53,0,91.17,1.43,7.4
25 Mar - 31 Mar 2024,9.68,90.32,0.3,0,78.79,0.9,20.31
18 Mar - 24 Mar 2024,15.11,84.89,0.39,0,97.98,0.29,1.73
11 Mar - 17 Mar 2024,10.87,89.13,0.29,0,97.58,0.49,1.93
04 Mar - 10 Mar 2024,8.4,91.6,0.08,0,98.03,0.39,1.58
26 Feb - 03 Mar 2024,8.29,91.71,0.12,0,98.1,0.37,1.53
19 Feb - 25 Feb 2024,9.85,90.15,0.27,0,98.69,0.28,1.03
12 Feb - 18 Feb 2024,9.08,90.92,0.31,0,97.97,0.27,1.76
05 Feb - 11 Feb 2024,7.94,92.06,0.25,0,98.14,0.35,1.51
29 Jan - 04 Feb 2024,9.38,90.62,0.25,0,97.6,0.36,2.04
22 Jan - 28 Jan 2024,9.28,90.72,0.3,0,97.63,0.51,1.86
15 Jan - 21 Jan 2024,8.94,91.06,0.25,0,95.1,0.47,4.43
08 Jan - 14 Jan 2024,8.6,91.4,0.3,0,98.44,0.39,1.17
01 Jan - 07 Jan 2024,7,93,0.26,0,97.3,1.3,1.4

